"我想吃東西",4
"他沒有答覆",3
"他得到很大的加薪",2
"她獲得一份很好的禮物",2
"哈哈哈這真有趣",2
"他是好朋友",2
"我很難過",3
"今晚這頓飯真好",2
"食物在那裡",4
"不要再說這樣的笑話哈哈哈",2
"球在那裡",1
"工作真辛苦",3
"你是否認真",3
"一起玩籃球吧",1
"工作很可怕",3
"恭喜妳生了孩子",2
"不要再惹怒我",3
"晚飯想吃什麼",4
"我喜歡放假",0
"你令我這一天過得很快樂",2
"我煮了飯",4
"她欺善怕惡",3
"為何我感到很差勁",3
"我很難過",3
"把球給我",1
"我很愛我的嫲嫲",0
"享受你的比賽吧",1
"情人節就快到了",2
"我很想你",0
"拋波給我吧",1
"我的人生很沉悶",3
"她應承了",2
"妳會做我女朋友嗎",2
"與我跳舞吧",2
"在餐廳見",4
"我愛笑",2
"我喜歡你的外套",0
"我很想她",0
"你最喜愛的棒球賽是那一場",1
"做得好",2
"我愛你愛到天荒地老",0
"你做得實在太出色了",2
"哈哈哈 lol",2
"我不想搞笑",3
"走開",3
"我們昨日又輸了",3
"家庭是我的一切",0
"這次測驗你不合格",3
"好笑話",2
"你拿這個獎實至名歸",2
"我沒有吃早餐",4